Item,Category,Brand,ModelNumber,WarrantyPeriod,ReleaseYear
AMD Radeon RX 7900 XT,GPU,AMD,AMD-1048,2 Years,2018
Dell Ultrasharp 27 Monitor,Monitor,Dell,DEL-7219,2 Years,2020
Seagate Barracuda 4TB HDD,Storage,Seagate,SEA-6280,1 Year,2019
AMD Ryzen 7 5800X,CPU,Intel,INT-4982,2 Years,2018
EVGA SuperNOVA 750 G6 PSU,Power Supply,EVGA,EVG-7683,3 Years,2021
Razer Huntsman Elite,Keyboard,Razer,RAZ-4925,2 Years,2021
NVIDIA RTX 4080,GPU,AMD,AMD-6703,3 Years,2019
NVIDIA RTX 4070 Ti,GPU,AMD,AMD-1579,1 Year,2018
SteelSeries Arctis 7,Headset,Logitech,LOG-5289,3 Years,2022
HyperX Cloud II,Headset,SteelSeries,STE-8863,2 Years,2022
ASUS ROG Strix Z690-F,Motherboard,MSI,MSI-2538,1 Year,2020
Logitech G Pro Superlight,Mouse,Logitech,LOG-4589,3 Years,2023
MSI B550 Tomahawk,Motherboard,Gigabyte,GIG-8977,3 Years,2019
WD Black SN850 2TB SSD,Storage,Seagate,SEA-8259,3 Years,2022
Corsair Vengeance 16GB DDR4,RAM,Kingston,KIN-6556,1 Year,2018
G.Skill Trident Z 32GB DDR5,RAM,G.Skill,G.S-9274,1 Year,2022
Corsair RM850x PSU,Power Supply,EVGA,EVG-8244,3 Years,2023
Razer DeathAdder V2,Mouse,Logitech,LOG-6968,3 Years,2023
Intel Core i9-13900K,CPU,AMD,AMD-1830,1 Year,2019
Samsung 970 EVO 1TB SSD,Storage,WD,WD-9436,3 Years,2022
ASUS TUF Gaming 32 Monitor,Monitor,LG,LG-4365,2 Years,2020
Logitech G915 Keyboard,Keyboard,Razer,RAZ-4349,2 Years,2018
